,0,1
Trump 1," @ Jane_from_CO @ jpodhoretz @ stephenfhayes WHATEVER,,will Not argue,,HAPPY,FANTASTIC WIN,,CHEERS to Mr. TRUMP,,",2016-05-04 07:59:14
Trump 2," @ slone FANTASTIC WIN,,,GO TRUMP,,",2016-05-04 07:57:18
Trump 3, Donald Trump is the GOP's nominee — it's time for Cruz and Kasich to drop out http://nyp.st/1pZbmoz,2016-05-04 07:56:34
Trump 4, DECISION 2016: NBC News projects Donald Trump will win the Indiana GOP primary. http://www.nbcwashington.com/news/national-international/Cruz-Trump-Exchange-Insults-Indiana-Primary-Votes-377997091.html?lklkl …,2016-05-04 07:56:34
Trump 5, A vote for Trump IS a vote for HRC..i will not vote for Yrump.,2016-05-04 07:55:43
Trump 6, @ByBen_ @ savvyliterate I'll throw you against Trump's wall.,2016-05-04 07:55:42
Trump 7, @ TekXio @ DavidAFrench Trump would certainly do much worse than McCarthy ever dreamed.,2016-05-04 07:55:06
Trump 8," @ PatDollard @ tedcruz @ marklevinshow GO TRUMP,,CHEERS,MR.TRUMP,WOW Fantastic WIN,.loves Indy...",2016-05-04 07:52:59
Trump 9," @ DanScavino @ nepafortrump @ EricTrump @ FoxNews @ realDonaldTrump FANTASTIC WIN, Cheers Mr. TRUMP,,",2016-05-04 07:49:52
Trump 10, @ MeghanMcCain how can any Military Vet vote for @ realDonaldTrump ?,2016-05-04 07:49:41
Trump 11, What Americans need now is a great big butt-whupping from Teddy Roosevelt. He’d probably straight up deck Trump on the debate stage.,2016-05-04 07:48:59
Trump 12, No mamen la gorda de Donald Trump gano en Indiana v: ya valimos verga los mexicans # MujerGordaMujerInservible,2016-05-04 07:48:11
Trump 13, This is my Nth event. Indiana is decided the speech tonight is not . @Trump Tower New York https://www.instagram.com/p/BE9s2yjvNAz/,2016-05-04 07:47:28
Trump 14, @ debokokumo @ rkwjk @ IngrahamAngle I think Repubs lose the Senate & several House seats if Trump gets nomination,2016-05-04 07:45:14
Trump 15," # Trump in 2016 Temp:Crab Orchard, Ky."":58.8°F Wind:0.0mph Pressure: 29.88hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-05-04 07:45:01
Trump 16," @ nepafortrump @ realDonaldTrump @ TeamTrump16 AWESOME,,,FANTASTIC,EXCELLENT !!!,,CHEERS,,,",2016-05-04 07:43:38
Trump 17, Networks project Donald J. Trump wins Indiana GOP primary. Do you believe he locks up nomination before convention?… http://toplocalnow.com/united-states/wisconsin/milwaukee …,2016-05-04 07:43:08
Trump 18," Trump is USPrez maybe, Toronto has winning team maybe. What next? Elon Musk creates Ultron and colonizes Europa? # BizarroWorld",2016-05-04 07:40:21
Trump 19," NBC, CNN projects Republican front-runner Donald Trump to win Indiana Primary http://bit.ly/24wkMaE",2016-05-04 07:40:06
Trump 20, CBS News projects Donald J. Trump the winner in the INPrimary http://denver.cbslocal.com/cbsn-live-streaming-video-from-cbs-news/ …,2016-05-04 07:40:06
Trump 21, AP says Trump will get at least 45 of IN's 57 delegates. @ mgroppe http://toplocalnow.com/united-states/indiana/indianapolis …,2016-05-04 07:40:05
Trump 22, Donald Trump is the projected winner of the GOP IndianaPrimary http://bos.gl/DgQ6qUD,2016-05-04 07:40:05
Trump 23," @ realDonaldTrump campaign mgr @ CLewandowski_ says @ tedcruz and @ JohnKasich should drop out for the good of the party"" Trump has destroyed",2016-05-04 07:39:52
Trump 24, President Trump will spend a lot more time than Obama has investigating the veracity of the moon landing and is Elvis still alive,2016-05-04 07:39:42
Trump 25, AP: Donald Trump wins Republican presidential primary in Indiana http://trib.in/1QRQOo8,2016-05-04 07:38:10
Trump 26, # TRUMP # WINS @Life Time Athletic - Green Valley https://www.instagram.com/p/BE9rpxpHyHs/,2016-05-04 07:36:58
Trump 27, @ BoSnerdley not voting for that nut job trump I have principles.,2016-05-04 07:35:24
Trump 28," @ BuckSexton Trump has skeletons, but unfortunately, they won't come out until the GE",2016-05-04 07:35:19
Trump 29, @ Seanhannity not voting for that nut job Trump values and principles will not let me vote for him. Something you should have thought about,2016-05-04 07:33:33
Trump 30," # Trump in 2016 Temp:Crab Orchard, Ky."":59.2°F Wind:0.9mph Pressure: 29.85hpa Falling Rain Today 0.00in. Forecast: Occasional precipitation",2016-05-04 07:30:01
Trump 31," @ LouDobbs @ ChristiChat @ FoxNews @ realDonaldTrump Breaking news : Gov Kasich is staying in race,,unbelievable,,,WOW,",2016-05-04 07:26:18
Trump 32, Donald Trump has won the GOP primary in Indiana. Check back for more updates. https://twitter.com/statesman/status/727624437063888896 …,2016-05-04 07:26:15
Trump 33, Projections: Donald Trump wins Republican presidential primary in Indiana http://via.fox6now.com/SBslb,2016-05-04 07:26:12
Trump 34, WTH is wrong with America?! Trump? Seriously?!,2016-05-04 07:24:34
Trump 35, JUST IN: Donald Trump wins IndianaPrimary http://nyp.st/1NjqPv7,2016-05-04 07:23:12
Trump 36, CBS News projects Donald J. Trump wins GOP INprimary http://cbsn.ws/1SjgPhV,2016-05-04 07:23:11
Trump 37, - ABC News projects that Donald Trump is the winner of the GOP Primary in Indiana. @ 6abc http://toplocalnow.com/united-states/pennsylvania/philadelphia …,2016-05-04 07:23:10
Trump 38," Donald J. Trump wins Ind. GOP primary, NBC News projects @ FCN2go http://toplocalnow.com/united-states/florida/jacksonville …",2016-05-04 07:23:09
Trump 39, Republican Donald Trump wins the IndianaPrimary. The Associated Press race call at 7 p.m. EDT. Election2016… http://toplocalnow.com/united-states/indiana/indianapolis …,2016-05-04 07:23:09
Trump 40," Donald Trump wins Indiana Republican primary, delivering a potential knockout blow to Cruz http://lat.ms/1Y6AIg9",2016-05-04 07:23:09
Trump 41," YUP, WHY THE EFF NOT. Especially since Trump just won Indiana OY VEY by @ cmartrocks… https://www.instagram.com/p/BE9p_GLI3I7/",2016-05-04 07:22:23
Trump 42," @ jermsguy @ ccb1212 Funnily enough, Trump is at 79%. Of course, Trump’s policy positions on there are lies.",2016-05-04 07:21:48
Trump 43, Trump projected winner of Indiana GOP primary http://via.kswbtv.com/zyj4H,2016-05-04 07:21:08
Trump 44," @ MsAvaArmstrong don't worry, this is far from over. More S..t will be coming out about Trump. Ted has to persevere until then",2016-05-04 07:21:06
Trump 45, # PresidentialPrimary @ realDonaldTrump Wins @ VisitIndiana ! @PatriotThread @ indgop @ GOP https://www.swarmapp.com/c/cKet6qRnBae pic.twitter.com/NcJQpvK82K,2016-05-04 07:20:08
Trump 46, @ tedcruz what you need is a one on none debate where you get to respond for yourself AND Trump.,2016-05-04 07:20:08
Trump 47, Stopped by here tonight after work today. # Sarasota # Trump2016 # trumpsarasota @Donald Trump for… https://www.instagram.com/p/BE9ptgRJtrk/,2016-05-04 07:20:04
Trump 48," @ realDonaldTrump The big losers tonight besides Ted Cruz are his donors, who have now spent close to $100 million, for nothing.",2016-05-04 07:19:04
Trump 49," @ foxnewsradio @ realDonaldTrump @ tedcruz GO TRUMP,CHEERS !",2016-05-04 07:15:57
Trump 50, @wat_tylers_dog @ TheRickWilson @ NW_Horadam @ JuliannAndreen I’m fairly certain most Trump voters didn’t even know about the Gang of 8.,2016-05-04 07:15:30
