,0,1
Trump 1," I'm at Trump Building in New York, NY https://www.swarmapp.com/c/2Q0En6jFG7V",2016-05-06 07:53:21
Trump 2, # VOTE # Hillary # Clinton #2016 or get ready to say # Heil # Trump. Long live # fuerher Trump as… https://www.instagram.com/p/BFC3CMgtQO9/,2016-05-06 07:52:37
Trump 3, Hermanos De Sangre # cincodemayo @Trump Tower. Chicago https://www.instagram.com/p/BFC29JHH-7W/,2016-05-06 07:51:56
Trump 4, @ chrislhayes Kind of what Trump has been saying. But YOU went Negative on his views.,2016-05-06 07:50:40
Trump 5, Bruce Rauner won't attend GOP convention or endorse Donald Trump http://trib.in/1WM6Gzm,2016-05-06 07:49:08
Trump 6, Trump and the Clinton scandals http://bubly.us/HGwB,2016-05-06 07:47:55
Trump 7," # Trump in 2016 Temp:Crab Orchard, Ky."":51.4°F Wind:0.0mph Pressure: 29.85hpa Falling slowly Rain Today 0.05in. Forecast: Occasional precip",2016-05-06 07:45:01
Trump 8," Detroit trends now: Trump, # NewFronts, # MayThe4thBeWithYou, # Empire and # 1YearSince1989WorldTour http://toplocalnow.com/united-states/michigan/detroit?section=trends …",2016-05-06 07:44:11
Trump 9," Jacksonville trends now: Trump, Grim Sleeper, # CincoDeMayo, # MMOPEN and # DropOutHillary http://toplocalnow.com/united-states/florida/jacksonville?section=trends …",2016-05-06 07:44:09
Trump 10," @ HillaryClinton Wow, that's great. Your helping Trump more than the RNC is.",2016-05-06 07:41:31
Trump 11, Donald Trump's Cinco de Mayo taco tweet has us asking a lot of questions via mySA http://www.mysanantonio.com/news/politics/article/Donald-Trump-s-Cinco-de-Mayo-taco-tweet-has-us-7395864.php?cmpid=twitter-desktop …,2016-05-06 07:41:11
Trump 12, @ realDonaldTrump kick that governor in the face,2016-05-06 07:40:35
Trump 13, Happy Cinco de Mayo! The best taco bowls are made in Trump Tower… https://www.instagram.com/p/BFC1pllI-JTNzOUaXo3b2Nwi8cYkm3roe_uXlw0/ …,2016-05-06 07:40:31
Trump 14, How come so many Trump supporters like the nickname that I gave Dum Donald but they let me know through text messages trumpmenrweak,2016-05-06 07:39:58
Trump 15," @ cherokeesher2 @ realDonaldTrump uses ""Cinco de Mayo"" to start building the wall. pic.twitter.com/V6tSylS1zt",2016-05-06 07:35:20
Trump 16, @ MSNBC @ CNNPolitics - fun watching the so called establishment GOP feeding on the little tidbits Trump throws them LOL.,2016-05-06 07:34:55
Trump 17," Baltimore trends now: Penn State, Trump, # CincoDeMayo, # MayThe4thBeWithYou and # Empire http://toplocalnow.com/united-states/maryland/baltimore?section=trends …",2016-05-06 07:33:07
Trump 18," # Trump in 2016 Temp:Crab Orchard, Ky."":51.8°F Wind:1.6mph Pressure: 29.85hpa Falling slowly Rain Today 0.05in. Forecast: Unsettled, precip",2016-05-06 07:30:01
Trump 19, @ realDonaldTrump PLEASE HELP ME REACH MY GOAL TO # ENDALZ PLEASE RT http://act.alz.org/site/TR?fr_id=9213&pg=personal&px=8326908 …pic.twitter.com/CFA5psiN7c,2016-05-06 07:29:38
Trump 20, Paul Ryan isn't ready to endorse Donald Trump just yet via @ nypost http://nyp.st/1OfZLrs,2016-05-06 07:27:12
Trump 21, Trump's taco bowl post is not The Onion via @ nypost http://nyp.st/1TuVlPg,2016-05-06 07:26:33
Trump 22, @ realDonaldTrump # TrumpTrain what the Hell is wrong with all these gop conservative leaders. U want voters to kiss your damn feets!??,2016-05-06 07:24:41
Trump 23," Pre-Wall Margaritas, next May Tequila might be contraband. # trump # mexican @Westville https://www.instagram.com/p/BFCzqCQqGOx/",2016-05-06 07:23:06
Trump 24, The 19 most offensive things about Donald Trump's taco bowl tweet http://feeds.mashable.com/~r/Mashable/~3/04z-z-0Y2to/ …,2016-05-06 07:20:04
Trump 25," # Trump in 2016 Temp:Crab Orchard, Ky."":52.2°F Wind:0.9mph Pressure: 29.88hpa Steady Rain Today 0.05in. Forecast: Fine weather",2016-05-06 07:15:02
Trump 26, Captain Trump takes the controls and the GOP is along for the ride. http://www.lasvegassun.com/news/opinion/smiths-world/ …,2016-05-06 07:14:33
Trump 27, Throwback to glam by me on the lovely @ ivankatrump for Trump hotel Vancouver Shot by… https://www.instagram.com/p/BFCya2_yzWo/,2016-05-06 07:12:17
Trump 28," for reference: being 21 days behind means Prince is still alive, lemonade is just a drink, and Trump is still Trump.",2016-05-06 07:11:15
Trump 29, House Speaker Paul Ryan refuses to back Donald Trump http://dlvr.it/LDyQVp,2016-05-06 07:10:09
Trump 30," Trump Rally (@Charleston Civic Center - @chasciviccenter in Charleston, WV) https://www.swarmapp.com/c/eoCwdK5apj3",2016-05-06 07:10:07
Trump 31, Most discussed topic in Jacksonville right now: Trump http://toplocalnow.com/united-states/florida/jacksonville?topic=trump …,2016-05-06 07:10:07
Trump 32, @ cvpayne If Trump picked a Democrat VP It would be .... > > > > Jim Webb ;-),2016-05-06 07:07:27
Trump 33, About to watch Trump live at the Civic Center in Charleston WV on Public Broadcasting. @… https://www.instagram.com/p/BFCx1yWRS46/,2016-05-06 07:07:15
Trump 34, @ Bert_HappyDog @ _metafizik @ IDIOTdella @ HillaryClinton I guess it was harsh. Out of patience with Bernie and Trump bots,2016-05-06 07:05:28
Trump 35," Marriage counseling before honeymoon is over “ @ costareports: Ryan-Trump meeting in the works, brokered by Priebus https://twitter.com/BrendanBuck/status/728350655920939012 …”",2016-05-06 07:00:49
Trump 36, hope someone put a booger in that # tacosalad # cincodemayo # fuckdonaldtrump # pendejo @Trump… https://www.instagram.com/p/BFCxD9ExuEC/,2016-05-06 07:00:25
Trump 37, @ carlosflashdc huuumnm a Donald Trump supporter,2016-05-06 07:00:05
Trump 38," # Trump in 2016 Temp:Crab Orchard, Ky."":52.9°F Wind:1.3mph Pressure: 29.88hpa Steady Rain Today 0.05in. Forecast: Fine weather",2016-05-06 07:00:01
Trump 39, THERE IS NO TACO BOWL AT TRUMP GRILL # tacobowlgate @Trump Tower Grille https://www.instagram.com/p/BFCuS00JJu6/,2016-05-06 06:56:37
Trump 40," # TBT Me as Jack Burton and Connor as Immortan Trump, now a reality, at @cinefamily's # Halloween… https://www.instagram.com/p/BFCwe0YCHn4/",2016-05-06 06:55:21
Trump 41, @ THR even captain America fought the NAZI'S. If he was real he'd be fighting Donald Trump. pic.twitter.com/unhft3sp5t,2016-05-06 06:54:23
Trump 42, City views of the best city...Chicago. @Trump International Hotel &… https://www.instagram.com/p/BFCwKhKu4CVgaBRS2gly26ElbdpXOtJYqV42HY0/ …,2016-05-06 06:52:35
Trump 43, Rooms with the best views in town. @Trump International Hotel &… https://www.instagram.com/p/BFCwE0qO4CKM2AfJzCOaPxJPj0rPtqzSec5-Uw0/ …,2016-05-06 06:51:48
Trump 44, @ realDonaldTrump hey p the problem is we don't c color we work with every color and were all people it's the new world,2016-05-06 06:51:07
Trump 45, The @ realDonaldTrump: Never.,2016-05-06 06:48:29
Trump 46, how are trump supporters celebrating cinco de mayo ? that's a big NO .,2016-05-06 06:45:30
Trump 47," # Trump in 2016 Temp:Crab Orchard, Ky."":52.9°F Wind:2.0mph Pressure: 29.88hpa Steady Rain Today 0.05in. Forecast: Fine, possible showers",2016-05-06 06:45:01
Trump 48, I just told Pretzels about Trump @City of Hudson https://www.instagram.com/p/BFCvF5jB2Oy/,2016-05-06 06:43:13
