,0,1
Trump 1," # Trump in 2016 Temp:Crab Orchard, Ky."":62.1°F Wind:0.0mph Pressure: 30.00hpa Steady Rain Today 0.05in. Forecast: Fine weather",2016-05-21 07:55:26
Trump 2," For Trump, literally everything is negotiable. He has yet to show any real commitment to any principle.",2016-05-21 07:54:41
Trump 3," Lol I'm not voting for someone I do not believe in. If it comes to Hillary vs Trump, I'm voting Green. I will not settle for jack shit.",2016-05-21 07:48:09
Trump 4," Trump will be worse on national security issues, I believe. For everything else, he'll have to deal with",2016-05-21 07:45:17
Trump 5," # Trump in 2016 Temp:Crab Orchard, Ky."":62.2°F Wind:0.0mph Pressure: 30.00hpa Steady Rain Today 0.05in. Forecast: Fine weather",2016-05-21 07:45:10
Trump 6," Haha, that depends on which version of Trump you're discussing. Trump would definitely be worse on trade.",2016-05-21 07:44:43
Trump 7, Trump is Less Scary Because Bernie and Hill Been the System 30 Plus Years. The System that FUCKS YOU !! We Know Bernie's Hart But HAY !!,2016-05-21 07:44:18
Trump 8, The Truth Is Burn United Has Enough Voters to Beat Trump and Hillary !!! All the Old Heads Think Back With Your New Eyes about that Tv...,2016-05-21 07:39:53
Trump 9," El Paso trends now: Trump, Bernie Sanders, El Chapo, # AggieUp and # EgyptAir. http://toplocalnow.com/united-states/texas/el-paso?section=trends …",2016-05-21 07:39:16
Trump 10, Trump campaign admits it did not raise $6 million for veterans http://www.wisn.com/politics/trump-campaign-admits-it-did-not-raise-6-million-for-veterans/39652146?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=wisn12news …,2016-05-21 07:36:09
Trump 11, Is that the one in Scotland that told you to buzz off? We have a ahole that golf too much!,2016-05-21 07:33:20
Trump 12, Rick Perry: I'm willing to be Trump's VP http://www.wisn.com/politics/rick-perry-im-willing-to-be-trumps-vp/39649786?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=wisn12news …,2016-05-21 07:18:38
Trump 13, Had a # lunchnlearn in the Belly of the Beast today. # TrumpBuilding @The Trump Building https://www.instagram.com/p/BFpavFgJBPW/,2016-05-21 07:15:43
Trump 14, Most discussed topic in El Paso right now: Trump http://toplocalnow.com/united-states/texas/el-paso?topic=trump …,2016-05-21 07:04:43
Trump 15," @ TC05131904 @ realDonaldTrump Hey Orange Clown, my name is on every tweet I make. Oh, and I don't have bodyguards, unlike you!!",2016-05-21 07:03:46
Trump 16, Trump campaign admits it did not raise $6 million for veterans http://www.wbaltv.com/politics/trump-campaign-admits-it-did-not-raise-6-million-for-veterans/39652146?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=wbaltv11 …,2016-05-21 07:02:11
Trump 17, Trump in 2006: I 'sort of hope' real estate market crashes http://dlvr.it/LMPSnh # Granada Hills,2016-05-21 06:59:09
Trump 18, Trump in 2006: I 'sort of hope' real estate market crashes http://dlvr.it/LMPShX,2016-05-21 06:59:07
Trump 19," Judge to Trump National: Pay contractor $34,863.92 or face foreclosure http://hrld.us/1Re7TZq",2016-05-21 06:50:14
Trump 20, # FeelTheBern # BernieOrBust # CorporateersBeDamned,2016-05-21 06:46:11
Trump 21, Find out why Gov. Martinez is not ready to endorse Trump yet http://www.kvia.com/news/new-mexico-governor-not-ready-to-endorse-trump-yet/39652314?utm_medium=social&utm_source=twitter_ABC7breaking …,2016-05-21 06:32:13
Trump 22, Trump will win a FAIR election.,2016-05-21 06:29:44
Trump 23, NRA endorses Donald Trump http://lat.ms/1TkmF8M,2016-05-21 06:13:12
Trump 24," Donald Trump was officially endorsed by the NRA today in Louisville, KY. @Kentucky Exposition… https://www.instagram.com/p/BFpS4IKP4Qb/",2016-05-21 06:07:03
Trump 25," # Trump in 2016 Temp:Crab Orchard, Ky."":61.7°F Wind:0.0mph Pressure: 29.97hpa Falling Rain Today 0.00in. Forecast: Unsettled, precipitation",2016-05-21 06:05:04
Trump 26," # Trump in 2016 Temp:Crab Orchard, Ky."":61.7°F Wind:2.0mph Pressure: 29.97hpa Falling Rain Today 0.87in. Forecast: Showery, becoming less s",2016-05-21 06:00:04
Trump 27," @ realDonaldTrump Does Hillary still use ""coke"" to calm her nerves and temper?",2016-05-21 05:55:45
Trump 28, @ konrad_jeff Wheellocks are way too cool for Trump to have.,2016-05-21 05:55:29
Trump 29," # Trump in 2016 Temp:Crab Orchard, Ky."":61.7°F Wind:2.0mph Pressure: 30.03hpa Steady Rain Today 0.83in. Forecast: Fine weather",2016-05-21 05:55:02
Trump 30," # Trump in 2016 Temp:Crab Orchard, Ky."":61.9°F Wind:2.0mph Pressure: 30.03hpa Steady Rain Today 0.79in. Forecast: Fine weather",2016-05-21 05:50:02
Trump 31," # Trump in 2016 Temp:Crab Orchard, Ky."":62.4°F Wind:2.9mph Pressure: 30.03hpa Steady Rain Today 0.62in. Forecast: Fine weather",2016-05-21 05:45:01
Trump 32, The proudest vote I'll ever cast DONALD TRUMP FOR POTUS,2016-05-21 05:40:58
Trump 33," On a campaign stop in Colombus, Donald Trump met with a local… https://www.instagram.com/p/BFpPeerikxgGGiai85sG2laW_rO2_a7_egjLuw0/ …",2016-05-21 05:37:21
Trump 34," # Trump in 2016 Temp:Crab Orchard, Ky."":62.8°F Wind:0.9mph Pressure: 30.00hpa Falling slowly Rain Today 0.62in. Forecast: Precipitation at",2016-05-21 05:35:02
Trump 35," # Trump in 2016 Temp:Crab Orchard, Ky."":62.6°F Wind:1.1mph Pressure: 30.00hpa Falling slowly Rain Today 0.58in. Forecast: Precipitation at",2016-05-21 05:30:02
Trump 36, no. Just curious.,2016-05-21 05:27:30
Trump 37," # Trump in 2016 Temp:Crab Orchard, Ky."":62.6°F Wind:0.0mph Pressure: 30.00hpa Steady Rain Today 0.58in. Forecast: Fine weather",2016-05-21 05:25:01
Trump 38, oh it's a short form for Edward.,2016-05-21 05:15:15
Trump 39," # Trump in 2016 Temp:Crab Orchard, Ky."":62.2°F Wind:0.0mph Pressure: 30.03hpa Steady Rain Today 0.58in. Forecast: Fine weather",2016-05-21 05:15:01
Trump 40," @ realDonaldTrump @ cherokeesher2 SUICIDE BY COP: Lyin' Donnie calls for abolishing ""gun free"" zones. YOUR'E TELLING ME THERE'S A CHANCE.",2016-05-21 05:09:12
Trump 41," # Trump in 2016 Temp:Crab Orchard, Ky."":62.4°F Wind:0.0mph Pressure: 30.03hpa Steady Rain Today 0.58in. Forecast: Fine weather",2016-05-21 05:05:01
Trump 42, “ @ STRONG_OPED: AS RUSH POINTS OUT # HILLARY LIED PEOPLE DIED AND SHE SAYS # TRUMP IS DISQUALIFIED ??? pic.twitter.com/PINyrlDS4m” Old Narcisist,2016-05-21 05:04:56
Trump 43," # Trump in 2016 Temp:Crab Orchard, Ky."":62.6°F Wind:0.0mph Pressure: 30.03hpa Steady Rain Today 0.54in. Forecast: Fine weather",2016-05-21 05:00:02
Trump 44," # Trump in 2016 Temp:Crab Orchard, Ky."":62.6°F Wind:0.0mph Pressure: 30.03hpa Falling slowly Rain Today 0.50in. Forecast: Showery, becoming",2016-05-21 04:55:01
Trump 45," # Trump in 2016 Temp:Crab Orchard, Ky."":62.6°F Wind:0.0mph Pressure: 30.00hpa Falling slowly Rain Today 0.46in. Forecast: Unsettled, precip",2016-05-21 04:50:01
Trump 46, of one of his grandchildren. OnlyWhenItsOnTheirDoorStep,2016-05-21 04:45:11
Trump 47, bet he'd sing a different tune if one of those many guns he claims his sons own got into the hands,2016-05-21 04:44:23
Trump 48, Hey! A*SS HOLE Stop sending your minions to shoot at the Whitehouse. # DONNIE IS UNFIT @ cherokeesher2,2016-05-21 04:43:24
Trump 49," Ask not what your country can do for you, but what you can do for your country @Trump… https://www.instagram.com/p/BFpJGMWmtNS/",2016-05-21 04:41:36
Trump 50, Source says I shld put in for an interview w @ HillaryClinton but I criticized her more than @ realDonaldTrump believe it or not,2016-05-21 04:41:34
