,0,1
Trump 1, Dotties House Golf Outing @ # trump national @Trump Golf Colts Neck https://www.instagram.com/p/BFfLhIlFFA6/,2016-05-17 07:50:20
Trump 2, it's actually the worst I listen to old white racists talk about how much they love trump all day and I just cry,2016-05-17 07:50:02
Trump 3," # Trump in 2016 Temp:Crab Orchard, Ky."":56.8°F Wind:0.0mph Pressure: 30.15hpa Falling Rain Today 0.00in. Forecast: Fairly fine, showery lat",2016-05-17 07:45:03
Trump 4, So... I just had lunch with # donaldtrump # trump @Egg Roll Number 1 https://www.instagram.com/p/BFfKWuzKR9x/,2016-05-17 07:40:11
Trump 5," # Trump in 2016 Temp:Crab Orchard, Ky."":57.4°F Wind:0.0mph Pressure: 30.18hpa Falling Rain Today 0.00in. Forecast: Fairly fine, showery lat",2016-05-17 07:30:04
Trump 6," Donald Trump isn't gonna bend down to Europe ,London or anyone else. Who the F do they think they are..We don't have a Queen.",2016-05-17 07:21:13
Trump 7," # Trump in 2016 Temp:Crab Orchard, Ky."":57.7°F Wind:0.0mph Pressure: 30.15hpa Falling Rain Today 0.00in. Forecast: Fairly fine, showery lat",2016-05-17 07:15:03
Trump 8, Obama Talks About How Trump Hates the Muslims. Obamas Policy's KILLS MUSLIMS !! Tell Obama to Shut the Fuck On UP !!!,2016-05-17 07:13:38
Trump 9," SUE! RT @ realDonaldTrump:No wonder the @ nytimes is failing—who can believe what they write after false, malicious & libelous story they did.",2016-05-17 07:08:35
Trump 10," # Trump in 2016 Temp:Crab Orchard, Ky."":58.6°F Wind:0.0mph Pressure: 30.18hpa Falling Rain Today 0.00in. Forecast: Fairly fine, showery lat",2016-05-17 07:00:03
Trump 11," # Trump in 2016 Temp:Crab Orchard, Ky."":59.4°F Wind:0.0mph Pressure: 30.18hpa Falling Rain Today 0.00in. Forecast: Fairly fine, showery lat",2016-05-17 06:45:03
Trump 12," Rhonda was always being harassed intimidated followed attacked while with her husband Donald Trump, she has been in hellfire daily alone w B",2016-05-17 06:37:24
Trump 13, What a welcome home..are Trumps laws already going into affect? Because the line to get to the… https://www.instagram.com/p/BFfCuIIlfcY/,2016-05-17 06:33:28
