,0,1
Trump 1, I will vote for Hillaryonly sane person runninggreat country..we end up with lying Trump...Don the con,2016-05-13 07:58:56
Trump 2," All Muslims will turn on all infidels which include white, black, all colors & religions, all races,",2016-05-13 07:56:50
Trump 3, Clara and Cecilia's view for the weekend # jealous # iwanttogotothere @Trump Hotel 1 Central Park… https://www.instagram.com/p/BFU445nBht_/,2016-05-13 07:55:09
Trump 4, and Trump pays nothing in taxes?,2016-05-13 07:54:35
Trump 5," Seriously,out of 17 He is only one standing,,He Got The delegates,WVoters,,Cheers Trump,2016''",2016-05-13 07:54:16
Trump 6, Yes. Small % R terrorists but ALL R committed to world domination in some way & will help other muslims,2016-05-13 07:45:15
Trump 7," # Trump in 2016 Temp:Crab Orchard, Ky."":64.9°F Wind:0.0mph Pressure: 29.97hpa Falling slowly Rain Today 0.67in. Forecast: Unsettled, precip",2016-05-13 07:45:04
Trump 8, The quran & allah say all infidels must convert or die using peace or violence. Libs don't get it.,2016-05-13 07:39:39
Trump 9, # Vote # Hillary Clinton #2016 and dump # trump. @Krystal https://www.instagram.com/p/BFU25ErtQHZ/,2016-05-13 07:37:42
Trump 10, Not necessarily home grown. All Muslims follow the Quran & will turn eventually. So it is written.,2016-05-13 07:33:00
Trump 11, Trump @Madison Square Park https://www.instagram.com/p/BFU2QxRsg89/,2016-05-13 07:32:29
Trump 12," I'm shocked that someone as bright as you is a Trump supporter. You are clearly an open-minded, clever fellow.",2016-05-13 07:30:41
Trump 13," # Trump in 2016 Temp:Crab Orchard, Ky."":64.9°F Wind:0.0mph Pressure: 29.97hpa Steady Rain Today 0.67in. Forecast: Fine weather",2016-05-13 07:30:04
Trump 14, Lucifer -0 Trump - 1 http://www.cnn.com/2016/05/12/politics/john-boehner-backs-donald-trump/index.html …,2016-05-13 07:29:58
Trump 15, @ realDonaldTrump Won't be much fresh air when he reopens all the coal plants and ignores climate change crisis!,2016-05-13 07:27:31
Trump 16, My Dad would be 110 hrs old if alive. His Mother was 1/2 Indian. Can't find squat,2016-05-13 07:27:00
Trump 17, Trump V Trump V Obama @ standingroomlic # lic @The Standing Room https://www.instagram.com/p/BFU1opsGuEZ/,2016-05-13 07:26:43
Trump 18," @ realDonaldTrump ""The Art of the Deal""is just another Trump Dump! Trump is a loser! @ cherokeesher2 @ rinkydnk2 @ msnbcpic.twitter.com/Qq0xw2gopf",2016-05-13 07:24:45
Trump 19," @ realDonaldTrump Does his ""fresh air"" include mocking disabled people? How refreshing!",2016-05-13 07:24:21
Trump 20," @ realDonaldTrump By ""fresh air"" do you mean hate-filled speech, ignorance of how government works, and more?",2016-05-13 07:23:05
Trump 21," ""Little brain,little hands"" @ realdonaldtrump has been USA's leading conspiracy theorist: https://www.facebook.com/Sen.Franken/posts/10156992449485492 …"" #goofybastard!@rinkydnk2",2016-05-13 07:21:42
Trump 22," @ realDonaldTrump You mean his ""promises"" that will never transpire on deportation, blocking Muslims, etc.",2016-05-13 07:21:25
Trump 23," Walking around in midtown. Grand Central. Public Library. Sherman. Trump. @Manhattan, New York https://www.instagram.com/p/BFU1AAogvwe/",2016-05-13 07:21:10
Trump 24, @ CNN Republicans will stick by Trump no Matter what stop the nonsense it's sickening. Please Lord help us with this sick pathetic liar.,2016-05-13 07:20:23
Trump 25," # Trump in 2016 Temp:Crab Orchard, Ky."":64.8°F Wind:0.0mph Pressure: 30.03hpa Rising slowly Rain Today 0.67in. Forecast: Settled fine",2016-05-13 07:15:05
Trump 26," James we need to,retweet to let Donald know. No more calling Bernie crazy. His supporters our best friends",2016-05-13 07:13:18
Trump 27, regram @ realdonaldtrump Happy # CincoDeMayo! The best taco bowls are made in Trump Tower Grill. I… https://www.instagram.com/p/BFU0F6ZJsd6/,2016-05-13 07:13:16
Trump 28," Your one chance to ask a question and you ask about Trumps ""personality "" Give me a break! ????",2016-05-13 07:12:12
Trump 29," MT"" @ thedailybeast: : It’s Trump’s Party, and D.C. Republicans have made peace with living in it. If ever there was a Bernie time, it's now",2016-05-13 07:06:10
Trump 30, Great Pic and I agree. We Love Trump in NJ @ realDonaldTrump,2016-05-13 07:04:26
Trump 31, @NavyVets4Trump Donald no more crazy.,2016-05-13 07:02:45
Trump 32," # Trump in 2016 Temp:Crab Orchard, Ky."":64.9°F Wind:0.0mph Pressure: 30.00hpa Steady Rain Today 0.67in. Forecast: Fine weather",2016-05-13 07:00:04
Trump 33, Pre-show prep.. Concentrating on not bashing Trump for 45 minutes ... Only 35 min and 10 minutes… https://www.instagram.com/p/BFUyW8AzTSD/,2016-05-13 06:58:05
Trump 34, @ SpeakerRyan Great job speaker stand up to @ realDonaldTrump bully!!,2016-05-13 06:50:16
Trump 35," # Trump in 2016 Temp:Crab Orchard, Ky."":64.9°F Wind:0.0mph Pressure: 29.97hpa Falling slowly Rain Today 0.63in. Forecast: Unsettled, precip",2016-05-13 06:45:04
Trump 36, # Vote # Hillary Clinton 2016 or face the end of the # Republic. How do you want Trump to kill your… https://www.instagram.com/p/BFUwtittQK8/,2016-05-13 06:43:41
Trump 37, @ 9975Ts @ realDonaldTrump @ SenateMajLdr Why do we care what RYAN wants,2016-05-13 06:34:10
Trump 38, The GOP representatives are using that pledge to support trump to hide the fact that they are truly STUPID SPINELESS WEASELS. SHAMELESS!,2016-05-13 06:33:51
Trump 39," El Paso trends now: Trump, # TeenChoice, # IWasBlockedFor, # Supergirl and # AzealiaGotSuspendedParty. http://toplocalnow.com/united-states/texas/el-paso?section=trends …",2016-05-13 06:33:12
Trump 40, Buraco 18 Blue Monster!!! @Trump National Doral Miami https://www.instagram.com/p/BFUvXa5EOLYEFPYohU_7IYw88SlNDwotBOkGbU0/ …,2016-05-13 06:32:02
Trump 41, Farm equipment on the road and Trump signs in the front lawns # welcomehome,2016-05-13 06:32:01
Trump 42, I finish with this delicious Chicago Coffee yummm!!! @Trump… https://www.instagram.com/p/BFUvUg4KzTrR6vfVdxnhmqR2-G-Rb-T9YHa5dU0/ …,2016-05-13 06:31:32
Trump 43," Trump is in Capitol Hill, so there is traffic in DC tonight. My taxi driver 'Trump talks like my… https://www.instagram.com/p/BFUvTaHwQs6/",2016-05-13 06:31:24
Trump 44," # Trump in 2016 Temp:Crab Orchard, Ky."":65.5°F Wind:0.0mph Pressure: 30.03hpa Rising slowly Rain Today 0.58in. Forecast: Settled fine",2016-05-13 06:30:06
Trump 45," I'm at Trump Taj Mahal Casino Resort in Atlantic City, NJ https://www.swarmapp.com/c/d30aQM67Pm1",2016-05-13 06:24:18
